filename	trial_type	topic_obj	topic_col	topic_loc	backgr_obj	backgr_col	backgr_loc	words	Gen_1	Gen_2	Gen_3	Gen_4	Gen_5	condition	chain
08-2.png	rel	cup	blue	left	pen	yellow	right	fop pu	fop p	fop pu	fop pu	fop pu	yun pu	control	8
08.png	rel	cup	blue	right	pen	yellow	left	fop pu	fop pu	fop pu	fop pu	fop pu	fop pu	control	8
09.png	sin	ball	yellow	cent	no	no	no	kur	kur	kur	kur	kur	kur	control	8
09d.png	sin	ball	yellow	cent	no	no	no	kur	kur	kur li	kur	kur	kur	control	8
10.png	sin	ball	blue	cent	no	no	no	kur	kur	kur	kur pu	kur pu	kur	control	8
10d.png	sin	ball	blue	cent	no	no	no	kur	kur	kur pu	kur pu	kur	kur	control	8
11-2.png	rel	ball	yellow	left	pen	blue	right	kur li	kur li	kur li	kur li	kur li	kur li	control	8
11.png	rel	ball	yellow	right	pen	blue	left	kur li	kur li	kur li	kur li	kur li	kur li	control	8
12-2.png	rel	ball	blue	right	pen	yellow	left	kur pu	kur pu	kur pu	kur pu	kur pu	kur pu	control	8
12.png	rel	ball	blue	left	pen	yellow	right	kur pu	kur pu	kur pu	kur li	kur pu	kur pu	control	8
13.png	sin	book	yellow	cent	no	no	no	yan	yan	yan	yan li	yun li	yun	control	8
13d.png	sin	book	yellow	cent	no	no	no	yan	yan	yan	yan li	yun li	yun	control	8
14.png	sin	book	blue	cent	no	no	no	yan	yan	yan	yan pu	yun	yun	control	8
14d.png	sin	book	blue	cent	no	no	no	yan	yan	yan	yan	yun	yun	control	8
15-2.png	rel	book	yellow	left	pen	blue	right	yan li	yan li	yan li	yan li	yun li	yun li	control	8
15.png	rel	book	yellow	right	pen	blue	left	yan li	yan li	yan li	yan li	yun li	yun li	control	8
16-2.png	rel	book	blue	right	pen	yellow	left	yan pu	yan pu	yan pu	yan pu	yun pu	yun pu	control	8
16.png	rel	book	blue	left	pen	yellow	right	yan pu	yan	yan pu	yan pu	yun pu	yun pu	control	8
01.png	sin	pen	yellow	cent	no	no	no	meeb	meeb	meeb	meep	meep li	meep li	control	9
01d.png	sin	pen	yellow	cent	no	no	no	meeb	meeb	meeb	meep	meep li	meep li	control	9
02.png	sin	pen	blue	cent	no	no	no	meeb	meeb	meeb	meep	meep pu	meep pu	control	9
02d.png	sin	pen	blue	cent	no	no	no	meeb	meeb	meeb	meep 	meep	meep li	control	9
03-2.png	rel	pen	yellow	left	pen	blue	right	meeb li	meeb li	meeb li	meep li	li	li	control	9
03.png	rel	pen	yellow	right	pen	blue	left	meeb li	meeb li	meeb li	meeb li	meep li	meep li	control	9
04-2.png	rel	pen	blue	right	pen	yellow	left	meeb pu	meeb pu	meeb pu	meeb pu	pu	pu	control	9
04.png	rel	pen	blue	left	pen	yellow	right	meeb pu	meeb pu	meeb pu	meep pu	meep pu	pu	control	9
